ano_mês,uf,produto,unid,venda,criado_em
2020-08,AC,Etanol Hidratado,m3,599.0,2022-09-10
2020-09,AC,Etanol Hidratado,m3,791.0,2022-09-10
2020-10,AC,Etanol Hidratado,m3,649.0,2022-09-10
2020-11,AC,Etanol Hidratado,m3,610.0,2022-09-10
2020-12,AC,Etanol Hidratado,m3,760.0,2022-09-10
2021-01,AC,Etanol Hidratado,m3,682.0,2022-09-10
2021-02,AC,Etanol Hidratado,m3,689.0,2022-09-10
2021-03,AC,Etanol Hidratado,m3,784.0,2022-09-10
2021-04,AC,Etanol Hidratado,m3,662.0,2022-09-10
2021-05,AC,Etanol Hidratado,m3,663.0,2022-09-10
2021-06,AC,Etanol Hidratado,m3,578.0,2022-09-10
2021-07,AC,Etanol Hidratado,m3,504.0,2022-09-10
2021-08,AC,Etanol Hidratado,m3,537.0,2022-09-10
2021-09,AC,Etanol Hidratado,m3,477.0,2022-09-10
2021-10,AC,Etanol Hidratado,m3,510.0,2022-09-10
2021-11,AC,Etanol Hidratado,m3,460.0,2022-09-10
2021-12,AC,Etanol Hidratado,m3,425.0,2022-09-10
2022-01,AC,Etanol Hidratado,m3,375.0,2022-09-10
2022-02,AC,Etanol Hidratado,m3,395.0,2022-09-10
2022-03,AC,Etanol Hidratado,m3,556.0,2022-09-10
2022-04,AC,Etanol Hidratado,m3,588.0,2022-09-10
2022-05,AC,Etanol Hidratado,m3,593.0,2022-09-10
2022-06,AC,Etanol Hidratado,m3,621.0,2022-09-10
2022-07,AC,Etanol Hidratado,m3,,2022-09-10
2022-08,AC,Etanol Hidratado,m3,,2022-09-10
2022-09,AC,Etanol Hidratado,m3,,2022-09-10
2022-10,AC,Etanol Hidratado,m3,,2022-09-10
2022-11,AC,Etanol Hidratado,m3,,2022-09-10
2022-12,AC,Etanol Hidratado,m3,,2022-09-10
2000-01,AL,Etanol Hidratado,m3,1.763,2022-09-10
2000-02,AL,Etanol Hidratado,m3,1.803,2022-09-10
2000-03,AL,Etanol Hidratado,m3,1.872,2022-09-10
2000-04,AL,Etanol Hidratado,m3,2.04,2022-09-10
2000-05,AL,Etanol Hidratado,m3,2.313,2022-09-10
2000-06,AL,Etanol Hidratado,m3,2.028,2022-09-10
2000-07,AL,Etanol Hidratado,m3,3.512,2022-09-10
2000-08,AL,Etanol Hidratado,m3,3.396,2022-09-10
2000-09,AL,Etanol Hidratado,m3,2.692,2022-09-10
2000-10,AL,Etanol Hidratado,m3,1.837,2022-09-10
2000-11,AL,Etanol Hidratado,m3,1.432,2022-09-10
2000-12,AL,Etanol Hidratado,m3,1.506,2022-09-10
2001-01,AL,Etanol Hidratado,m3,1.423,2022-09-10
2001-02,AL,Etanol Hidratado,m3,1.664,2022-09-10
2001-03,AL,Etanol Hidratado,m3,1.86,2022-09-10
2001-04,AL,Etanol Hidratado,m3,1.588,2022-09-10
2001-05,AL,Etanol Hidratado,m3,1.683,2022-09-10
2001-06,AL,Etanol Hidratado,m3,1.481,2022-09-10
2001-07,AL,Etanol Hidratado,m3,1.552,2022-09-10
2001-08,AL,Etanol Hidratado,m3,1.403,2022-09-10
2001-09,AL,Etanol Hidratado,m3,1.152,2022-09-10
2001-10,AL,Etanol Hidratado,m3,1.36,2022-09-10
2001-11,AL,Etanol Hidratado,m3,1.797,2022-09-10
2001-12,AL,Etanol Hidratado,m3,1.95,2022-09-10
2002-01,AL,Etanol Hidratado,m3,1.834,2022-09-10
2002-02,AL,Etanol Hidratado,m3,1.332,2022-09-10
2002-03,AL,Etanol Hidratado,m3,1.413,2022-09-10
2002-04,AL,Etanol Hidratado,m3,1.353,2022-09-10
2002-05,AL,Etanol Hidratado,m3,1.528,2022-09-10
2002-06,AL,Etanol Hidratado,m3,1.313,2022-09-10
2002-07,AL,Etanol Hidratado,m3,1.592,2022-09-10
2002-08,AL,Etanol Hidratado,m3,1.895,2022-09-10
2002-09,AL,Etanol Hidratado,m3,1.787,2022-09-10
2002-10,AL,Etanol Hidratado,m3,2.032,2022-09-10
2002-11,AL,Etanol Hidratado,m3,1.502,2022-09-10
2002-12,AL,Etanol Hidratado,m3,1.46,2022-09-10
2003-01,AL,Etanol Hidratado,m3,1.653,2022-09-10
2003-02,AL,Etanol Hidratado,m3,1.436,2022-09-10
2003-03,AL,Etanol Hidratado,m3,1.218,2022-09-10
2003-04,AL,Etanol Hidratado,m3,1.957,2022-09-10
2003-05,AL,Etanol Hidratado,m3,2.185,2022-09-10
2003-06,AL,Etanol Hidratado,m3,2.078,2022-09-10
2003-07,AL,Etanol Hidratado,m3,1.834,2022-09-10
2003-08,AL,Etanol Hidratado,m3,1.345,2022-09-10
2003-09,AL,Etanol Hidratado,m3,1.694,2022-09-10
2003-10,AL,Etanol Hidratado,m3,1.355,2022-09-10
2003-11,AL,Etanol Hidratado,m3,1.481,2022-09-10
2003-12,AL,Etanol Hidratado,m3,1.814,2022-09-10
2004-01,AL,Etanol Hidratado,m3,1.699,2022-09-10
2004-02,AL,Etanol Hidratado,m3,1.295,2022-09-10
2004-03,AL,Etanol Hidratado,m3,1.627,2022-09-10
2004-04,AL,Etanol Hidratado,m3,1.563,2022-09-10
2004-05,AL,Etanol Hidratado,m3,1.547,2022-09-10
2004-06,AL,Etanol Hidratado,m3,2.168,2022-09-10
2004-07,AL,Etanol Hidratado,m3,2.877,2022-09-10
2004-08,AL,Etanol Hidratado,m3,2.532,2022-09-10
2004-09,AL,Etanol Hidratado,m3,2.5,2022-09-10
2004-10,AL,Etanol Hidratado,m3,2.146,2022-09-10
2004-11,AL,Etanol Hidratado,m3,1.891,2022-09-10
2004-12,AL,Etanol Hidratado,m3,1.673,2022-09-10
2005-01,AL,Etanol Hidratado,m3,1.435,2022-09-10
2005-02,AL,Etanol Hidratado,m3,1.37,2022-09-10
2005-03,AL,Etanol Hidratado,m3,1.383,2022-09-10
2005-04,AL,Etanol Hidratado,m3,1.37,2022-09-10
2005-05,AL,Etanol Hidratado,m3,1.398,2022-09-10
