ano_mês,uf,produto,unid,volume,criado_em,ano
2017-05,AC,Gasolina de Aviação,m3,,2022-09-10,
2017-06,AC,Gasolina de Aviação,m3,,2022-09-10,
2017-07,AC,Gasolina de Aviação,m3,,2022-09-10,
2017-08,AC,Gasolina de Aviação,m3,,2022-09-10,
2017-09,AC,Gasolina de Aviação,m3,,2022-09-10,
2017-10,AC,Gasolina de Aviação,m3,,2022-09-10,
2017-11,AC,Gasolina de Aviação,m3,,2022-09-10,
2017-12,AC,Gasolina de Aviação,m3,,2022-09-10,
2018-01,AC,Gasolina de Aviação,m3,,2022-09-10,
2018-02,AC,Gasolina de Aviação,m3,,2022-09-10,
2018-03,AC,Gasolina de Aviação,m3,,2022-09-10,
2018-04,AC,Gasolina de Aviação,m3,,2022-09-10,
2018-05,AC,Gasolina de Aviação,m3,,2022-09-10,
2018-06,AC,Gasolina de Aviação,m3,,2022-09-10,
2018-07,AC,Gasolina de Aviação,m3,,2022-09-10,
2018-08,AC,Gasolina de Aviação,m3,,2022-09-10,
2018-09,AC,Gasolina de Aviação,m3,,2022-09-10,
2018-10,AC,Gasolina de Aviação,m3,,2022-09-10,
2018-11,AC,Gasolina de Aviação,m3,,2022-09-10,
2018-12,AC,Gasolina de Aviação,m3,,2022-09-10,
2019-01,AC,Gasolina de Aviação,m3,,2022-09-10,
2019-02,AC,Gasolina de Aviação,m3,,2022-09-10,
2019-03,AC,Gasolina de Aviação,m3,,2022-09-10,
2019-04,AC,Gasolina de Aviação,m3,,2022-09-10,
2019-05,AC,Gasolina de Aviação,m3,,2022-09-10,
2019-06,AC,Gasolina de Aviação,m3,,2022-09-10,
2019-07,AC,Gasolina de Aviação,m3,,2022-09-10,
2019-08,AC,Gasolina de Aviação,m3,,2022-09-10,
2019-09,AC,Gasolina de Aviação,m3,,2022-09-10,
2019-10,AC,Gasolina de Aviação,m3,,2022-09-10,
2019-11,AC,Gasolina de Aviação,m3,,2022-09-10,
2019-12,AC,Gasolina de Aviação,m3,,2022-09-10,
2020-01,AC,Gasolina de Aviação,m3,  148 ,2022-09-10,
2020-02,AC,Gasolina de Aviação,m3,  NaN   ,2022-09-10,
2020-03,AC,Gasolina de Aviação,m3,  45 ,2022-09-10,
2020-04,AC,Gasolina de Aviação,m3,  30 ,2022-09-10,
2020-05,AC,Gasolina de Aviação,m3,  30 ,2022-09-10,
2020-06,AC,Gasolina de Aviação,m3,  89 ,2022-09-10,
2020-07,AC,Gasolina de Aviação,m3,  33 ,2022-09-10,
2020-08,AC,Gasolina de Aviação,m3,  43 ,2022-09-10,
2020-09,AC,Gasolina de Aviação,m3,  143 ,2022-09-10,
2020-10,AC,Gasolina de Aviação,m3,  76 ,2022-09-10,
2020-11,AC,Gasolina de Aviação,m3,  NaN   ,2022-09-10,
2020-12,AC,Gasolina de Aviação,m3,  82 ,2022-09-10,
2021-01,AC,Gasolina de Aviação,m3,  35 ,2022-09-10,
2021-02,AC,Gasolina de Aviação,m3,  54 ,2022-09-10,
2021-03,AC,Gasolina de Aviação,m3,  40 ,2022-09-10,
2021-04,AC,Gasolina de Aviação,m3,  94 ,2022-09-10,
2021-05,AC,Gasolina de Aviação,m3,  30 ,2022-09-10,
2021-06,AC,Gasolina de Aviação,m3,  26 ,2022-09-10,
2021-07,AC,Gasolina de Aviação,m3,  94 ,2022-09-10,
2021-08,AC,Gasolina de Aviação,m3,  NaN   ,2022-09-10,
2021-09,AC,Gasolina de Aviação,m3,  92 ,2022-09-10,
2021-10,AC,Gasolina de Aviação,m3,  35 ,2022-09-10,
2021-11,AC,Gasolina de Aviação,m3,  63 ,2022-09-10,
2021-12,AC,Gasolina de Aviação,m3,  68 ,2022-09-10,
2022-01,AC,Gasolina de Aviação,m3,  75 ,2022-09-10,
2022-02,AC,Gasolina de Aviação,m3,  NaN   ,2022-09-10,
2022-03,AC,Gasolina de Aviação,m3,  153 ,2022-09-10,
2022-04,AC,Gasolina de Aviação,m3,  NaN   ,2022-09-10,
2022-05,AC,Gasolina de Aviação,m3,  93 ,2022-09-10,
2022-06,AC,Gasolina de Aviação,m3,  30 ,2022-09-10,
2022-07,AC,Gasolina de Aviação,m3,,2022-09-10,
2022-08,AC,Gasolina de Aviação,m3,,2022-09-10,
2022-09,AC,Gasolina de Aviação,m3,,2022-09-10,
2022-10,AC,Gasolina de Aviação,m3,,2022-09-10,
2022-11,AC,Gasolina de Aviação,m3,,2022-09-10,
2022-12,AC,Gasolina de Aviação,m3,,2022-09-10,
2000-01,AL,Gasolina de Aviação,m3,  15 ,2022-09-10,
2000-02,AL,Gasolina de Aviação,m3,  NaN   ,2022-09-10,
2000-03,AL,Gasolina de Aviação,m3,  NaN   ,2022-09-10,
2000-04,AL,Gasolina de Aviação,m3,  16 ,2022-09-10,
2000-05,AL,Gasolina de Aviação,m3,  NaN   ,2022-09-10,
2000-06,AL,Gasolina de Aviação,m3,  17 ,2022-09-10,
2000-07,AL,Gasolina de Aviação,m3,  1 ,2022-09-10,
2000-08,AL,Gasolina de Aviação,m3,  21 ,2022-09-10,
2000-09,AL,Gasolina de Aviação,m3,  16 ,2022-09-10,
2000-10,AL,Gasolina de Aviação,m3,  16 ,2022-09-10,
2000-11,AL,Gasolina de Aviação,m3,  7 ,2022-09-10,
2000-12,AL,Gasolina de Aviação,m3,  1 ,2022-09-10,
2001-01,AL,Gasolina de Aviação,m3,  1 ,2022-09-10,
2001-02,AL,Gasolina de Aviação,m3,  NaN   ,2022-09-10,
2001-03,AL,Gasolina de Aviação,m3,  0 ,2022-09-10,
2001-04,AL,Gasolina de Aviação,m3,  1 ,2022-09-10,
2001-05,AL,Gasolina de Aviação,m3,  1 ,2022-09-10,
2001-06,AL,Gasolina de Aviação,m3,  1 ,2022-09-10,
2001-07,AL,Gasolina de Aviação,m3,  1 ,2022-09-10,
2001-08,AL,Gasolina de Aviação,m3,  0 ,2022-09-10,
2001-09,AL,Gasolina de Aviação,m3,  0 ,2022-09-10,
2001-10,AL,Gasolina de Aviação,m3,  0 ,2022-09-10,
2001-11,AL,Gasolina de Aviação,m3,  0 ,2022-09-10,
2001-12,AL,Gasolina de Aviação,m3,  0 ,2022-09-10,
2002-01,AL,Gasolina de Aviação,m3,  NaN   ,2022-09-10,
2002-02,AL,Gasolina de Aviação,m3,  NaN   ,2022-09-10,
2002-03,AL,Gasolina de Aviação,m3,  1 ,2022-09-10,
2002-04,AL,Gasolina de Aviação,m3,  2 ,2022-09-10,
2002-05,AL,Gasolina de Aviação,m3,  1 ,2022-09-10,
2002-06,AL,Gasolina de Aviação,m3,  15 ,2022-09-10,
2002-07,AL,Gasolina de Aviação,m3,  16 ,2022-09-10,
2002-08,AL,Gasolina de Aviação,m3,  11 ,2022-09-10,
2002-09,AL,Gasolina de Aviação,m3,  29 ,2022-09-10,
2002-10,AL,Gasolina de Aviação,m3,  28 ,2022-09-10,
2002-11,AL,Gasolina de Aviação,m3,  16 ,2022-09-10,
2002-12,AL,Gasolina de Aviação,m3,  9 ,2022-09-10,
2003-01,AL,Gasolina de Aviação,m3,,2022-09-10,
2003-02,AL,Gasolina de Aviação,m3,,2022-09-10,
2003-03,AL,Gasolina de Aviação,m3,,2022-09-10,
2003-04,AL,Gasolina de Aviação,m3,,2022-09-10,
2003-05,AL,Gasolina de Aviação,m3,,2022-09-10,
2003-06,AL,Gasolina de Aviação,m3,,2022-09-10,
2003-07,AL,Gasolina de Aviação,m3,,2022-09-10,
2003-08,AL,Gasolina de Aviação,m3,,2022-09-10,
2003-09,AL,Gasolina de Aviação,m3,,2022-09-10,
2003-10,AL,Gasolina de Aviação,m3,,2022-09-10,
2003-11,AL,Gasolina de Aviação,m3,,2022-09-10,
2003-12,AL,Gasolina de Aviação,m3,,2022-09-10,
2004-01,AL,Gasolina de Aviação,m3,,2022-09-10,
2004-02,AL,Gasolina de Aviação,m3,,2022-09-10,
2004-03,AL,Gasolina de Aviação,m3,,2022-09-10,
2004-04,AL,Gasolina de Aviação,m3,,2022-09-10,
2004-05,AL,Gasolina de Aviação,m3,,2022-09-10,
2004-06,AL,Gasolina de Aviação,m3,,2022-09-10,
2004-07,AL,Gasolina de Aviação,m3,,2022-09-10,
2004-08,AL,Gasolina de Aviação,m3,,2022-09-10,
2004-09,AL,Gasolina de Aviação,m3,,2022-09-10,
2004-10,AL,Gasolina de Aviação,m3,,2022-09-10,
2004-11,AL,Gasolina de Aviação,m3,,2022-09-10,
2004-12,AL,Gasolina de Aviação,m3,,2022-09-10,
2005-01,AL,Gasolina de Aviação,m3,,2022-09-10,
2005-02,AL,Gasolina de Aviação,m3,,2022-09-10,
2005-03,AL,Gasolina de Aviação,m3,,2022-09-10,
2005-04,AL,Gasolina de Aviação,m3,,2022-09-10,
2005-05,AL,Gasolina de Aviação,m3,,2022-09-10,
2005-06,AL,Gasolina de Aviação,m3,,2022-09-10,
2005-07,AL,Gasolina de Aviação,m3,,2022-09-10,
2005-08,AL,Gasolina de Aviação,m3,,2022-09-10,
2005-09,AL,Gasolina de Aviação,m3,,2022-09-10,
2005-10,AL,Gasolina de Aviação,m3,,2022-09-10,
2005-11,AL,Gasolina de Aviação,m3,,2022-09-10,
2005-12,AL,Gasolina de Aviação,m3,,2022-09-10,
2006-01,AL,Gasolina de Aviação,m3,,2022-09-10,
2006-02,AL,Gasolina de Aviação,m3,,2022-09-10,
2006-03,AL,Gasolina de Aviação,m3,,2022-09-10,
2006-04,AL,Gasolina de Aviação,m3,,2022-09-10,
2006-05,AL,Gasolina de Aviação,m3,,2022-09-10,
2006-06,AL,Gasolina de Aviação,m3,,2022-09-10,
2006-07,AL,Gasolina de Aviação,m3,,2022-09-10,
2006-08,AL,Gasolina de Aviação,m3,,2022-09-10,
2006-09,AL,Gasolina de Aviação,m3,,2022-09-10,
2006-10,AL,Gasolina de Aviação,m3,,2022-09-10,
2006-11,AL,Gasolina de Aviação,m3,,2022-09-10,
2006-12,AL,Gasolina de Aviação,m3,,2022-09-10,
2007-01,AL,Gasolina de Aviação,m3,,2022-09-10,
2007-02,AL,Gasolina de Aviação,m3,,2022-09-10,
2007-03,AL,Gasolina de Aviação,m3,,2022-09-10,
2007-04,AL,Gasolina de Aviação,m3,,2022-09-10,
2007-05,AL,Gasolina de Aviação,m3,,2022-09-10,
2007-06,AL,Gasolina de Aviação,m3,,2022-09-10,
2007-07,AL,Gasolina de Aviação,m3,,2022-09-10,
2007-08,AL,Gasolina de Aviação,m3,,2022-09-10,
2007-09,AL,Gasolina de Aviação,m3,,2022-09-10,
2007-10,AL,Gasolina de Aviação,m3,,2022-09-10,
2007-11,AL,Gasolina de Aviação,m3,,2022-09-10,
2007-12,AL,Gasolina de Aviação,m3,,2022-09-10,
2008-01,AL,Gasolina de Aviação,m3,,2022-09-10,
2008-02,AL,Gasolina de Aviação,m3,,2022-09-10,
2008-03,AL,Gasolina de Aviação,m3,,2022-09-10,
2008-04,AL,Gasolina de Aviação,m3,,2022-09-10,
2008-05,AL,Gasolina de Aviação,m3,,2022-09-10,
2008-06,AL,Gasolina de Aviação,m3,,2022-09-10,
2008-07,AL,Gasolina de Aviação,m3,,2022-09-10,
2008-08,AL,Gasolina de Aviação,m3,,2022-09-10,
2008-09,AL,Gasolina de Aviação,m3,,2022-09-10,
2008-10,AL,Gasolina de Aviação,m3,,2022-09-10,
